ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
48,2,2,1,1995,3591,3590,2539,300,1695,364,362,409,860,88,40,4,0.16,1369,164,182,1747,1046,451,106,359,756,111,0,37,0,135.68654,2,467.56863,0,0,1,3.63408,0,1995,48,-1
49,2,2,1,2278,4176,4204,2698,536,1742,186,235,335,1522,135,76,6,0.2,1841,235,322,1531,1451,665,50,567,981,215,0,28,0,139.34955,2,245.19812,0,0,1,2.74154,0,2278,49,28
50,2,2,1,2382,4146,4147,2954,406,1976,383,409,401,1189,121,59,12,0.21,2275,201,222,1841,1161,722,260,728,1107,137,0,43,0,0,2,0,0,0,1,3.27587,0,2382,50,1
51,2,2,1,2115,3518,3527,2408,314,1801,357,346,474,938,107,46,17,0.19,1049,185,118,1787,858,579,35,388,504,117,0,5,0,0,2,0,0,0,3,2.57352,0,2115,51,9
52,2,2,1,1119,3259,3267,1801,296,823,211,253,323,332,1491,57,280,0.03,1106,305,395,2117,415,35,23,254,402,315,0,112,0,0,3,0,0,0,1,1.20476,0,1119,52,8
53,2,2,1,35,45,175,59,0,35,25,4,6,0,1098,5,13,0.05,961,2,4,117,50,2,53,72,656,165,0,15,0,0,3,0,0,0,2,3.35624,0,35,53,130
54,2,2,1,2691,6386,6455,3814,1217,1474,674,594,824,599,257,104,4,0.24,849,270,705,2147,2022,1311,168,250,307,103,0,21,0,0,3,0,0,0,1,2.26117,0,2691,54,69
55,2,2,1,1520,3571,3571,1919,758,762,373,387,407,353,97,58,1,0.23,322,182,395,1147,1166,681,27,190,83,10,0,12,0,0,3,0,0,0,1,2.17099,0,1520,55,0
56,2,2,1,62,130,129,196,13,49,15,13,5,29,250,2,157,0.47,2126,2,7,24,40,56,0,329,1552,233,0,12,0,0,3,0,0,0,1,1.48534,0,62,56,-1
57,2,2,1,941,2400,2400,1234,705,236,31,20,102,788,137,81,3,0.25,629,200,343,513,851,493,52,279,195,95,0,8,0,0,3,0,0,0,1,1.70947,0,941,57,0
58,2,2,1,2371,5349,5380,3164,352,2019,747,451,686,487,103,54,10,0.22,984,219,634,1923,1606,998,83,198,536,157,0,10,0,0,3,0,0,0,1,3.00089,0,2371,58,31
59,2,2,1,3156,7662,7731,4494,1377,1779,786,857,830,683,200,110,21,0.24,1177,340,885,2528,2406,1572,12,243,763,129,0,30,0,0,3,2875.10767,0,0,1,2.29648,0,3156,59,69
60,2,2,1,1566,3860,3862,2250,672,894,423,392,363,388,87,55,2,0.24,224,193,428,1342,1116,783,0,55,99,53,0,17,0,0,2,0,0,0,1,2.22954,0,1566,60,2
