observation_id,choice,availability_drive_alone,availability_shared_ride_2,availability_shared_ride_3+,availability_walk_transit_walk,availability_drive_transit_walk,availability_walk_transit_drive,availability_walk,availability_bicycle,household_id,person_id,tour_id,tour_origin_taz,primary_dest_taz,age,household_size,household_income,household_income_values,transit_subsidy,transit_subsidy_amount,cross_bay,total_travel_time_drive_alone,total_travel_time_shared_ride_2,total_travel_time_shared_ride_3+,total_travel_time_walk_transit_walk,total_travel_time_drive_transit_walk,total_travel_time_walk_transit_drive,total_travel_time_walk,total_travel_time_bicycle,total_travel_distance_drive_alone,total_travel_distance_shared_ride_2,total_travel_distance_shared_ride_3+,total_travel_distance_walk,total_travel_distance_bicycle,total_travel_cost_drive_alone,total_travel_cost_shared_ride_2,total_travel_cost_shared_ride_3+,total_travel_cost_walk_transit_walk,total_travel_cost_drive_transit_walk,total_travel_cost_walk_transit_drive,age_ctgry
162,walk,1,1,1,1,1,1,1,0,1445765,2,0,16.0,24.0,55,2,8,175000.0,0,-1,0,15.93,15.93,15.93,40.95,26.07,26.33,40.8,,2.04,2.04,2.04,2.04,,0.377,0.2154,0.1508,3.22,3.22,3.22,45-64
163,shared_ride_3,1,1,1,1,1,1,1,0,1446567,1,0,170.0,142.0,999,2,99,117480.978261,0,-1,0,25.32,25.32,25.32,113.23,92.1,98.31,192.8,,9.49,9.49,9.49,9.64,,1.7538,1.0021,0.7015,3.22,3.22,3.22,65+
164,walk_transit_walk,1,1,1,1,1,1,1,0,1446567,2,0,170.0,45.0,999,2,99,117480.978261,0,-1,0,34.23,34.23,34.23,79.57,88.56,74.85,237.6,,12.4,12.4,12.4,11.88,,2.2915,1.3095,0.9166,3.22,3.22,3.22,65+
165,walk_transit_walk,0,1,1,1,0,1,0,0,1450360,1,0,29.0,1011.0,39,2,6,87500.0,0,-1,1,,38.65,38.65,109.06,,106.05,,,,21.95,21.9,,,,5.0722,2.4229,9.64,,7.03,20-44
166,walk_transit_walk,1,1,1,1,1,1,1,1,1457273,3,0,1031.0,946.0,25,3,5,62500.0,0,-1,0,38.48,38.48,38.48,86.96,83.77,83.95,293.0,73.25,15.76,15.76,15.76,14.65,14.65,2.9124,1.6643,1.165,5.84,3.02,3.02,20-44
167,drive_alone,1,1,1,0,0,0,0,0,1458088,1,0,914.0,149.0,40,4,6,87500.0,1,999998,1,48.75,48.75,48.75,,,,,,38.3,38.3,38.3,,,10.2878,5.8788,4.1151,,,,20-44
168,shared_ride_3,1,1,1,0,0,0,0,0,1458088,2,0,914.0,14.0,39,4,6,87500.0,0,-1,1,38.59,38.59,38.59,,,,,,26.39,26.39,26.39,,,8.0868,4.6211,3.2347,,,,20-44
169,shared_ride_3,1,1,1,0,0,0,1,0,1458088,3,0,914.0,913.0,7,4,6,87500.0,0,-1,0,8.63,8.63,8.63,,,,42.8,,2.14,2.14,2.14,2.14,,0.3954,0.226,0.1582,,,,05-19
170,shared_ride_3,1,1,1,0,0,0,1,0,1458088,4,0,914.0,913.0,5,4,6,87500.0,0,-1,0,8.63,8.63,8.63,,,,42.8,,2.14,2.14,2.14,2.14,,0.3954,0.226,0.1582,,,,05-19
171,drive_alone,1,1,1,1,1,1,1,1,1458245,2,0,938.0,1019.0,999,4,99,117480.978261,0,-1,0,29.52,29.52,29.52,157.18,117.01,100.08,224.0,56.0,11.72,11.72,11.72,11.2,11.2,2.1658,1.2376,0.8663,3.42,4.43,4.63,65+
172,shared_ride_2,1,1,1,1,1,1,1,1,1458245,3,0,938.0,930.0,999,4,99,117480.978261,0,-1,0,14.3,14.3,14.3,151.35,108.26,102.22,100.2,25.05,5.04,5.04,5.04,5.01,5.01,0.9314,0.5322,0.3725,3.62,4.63,4.83,65+
173,shared_ride_3,1,1,1,1,1,1,1,1,1458245,4,0,938.0,930.0,999,4,99,117480.978261,0,-1,0,14.3,14.3,14.3,151.35,108.26,102.22,100.2,25.05,5.04,5.04,5.04,5.01,5.01,0.9314,0.5322,0.3725,3.62,4.63,4.83,65+
174,walk,1,1,1,0,1,0,1,1,1458985,3,0,915.0,984.0,17,4,6,87500.0,0,-1,0,21.65,21.65,21.65,,128.14,,174.8,43.7,9.75,9.75,9.75,8.74,8.74,1.9682,1.1246,0.7872,,7.63,,05-19
175,drive_alone,1,1,1,1,1,1,1,1,1459509,1,0,153.0,23.0,49,2,8,175000.0,0,-1,0,32.5,32.5,32.5,124.93,100.99,112.61,282.0,70.5,15.1,15.1,15.1,14.1,14.1,2.7905,1.5946,1.1162,3.22,3.22,3.22,45-64
