INDEX,OPR_DT,OPR_HR,MWh
638,2016-03-27,16,3808.23316
639,2016-03-27,17,3542.72869
640,2016-03-27,18,2455.60985
641,2016-03-27,19,675.03116
642,2016-03-27,20,-12.21376
643,2016-03-27,21,-21.15789
644,2016-03-27,22,-20.40796
645,2016-03-27,23,-20.25764
646,2016-03-27,24,-21.70383
647,2016-03-28,1,-21.38336
648,2016-03-28,2,-20.15378
649,2016-03-28,3,-20.09204
650,2016-03-28,4,-21.10525
651,2016-03-28,5,-22.88376
652,2016-03-28,6,-23.7413
653,2016-03-28,7,-11.44738
654,2016-03-28,8,648.65534
655,2016-03-28,9,2570.89415
656,2016-03-28,10,3732.20002
657,2016-03-28,11,3607.76733
658,2016-03-28,12,3721.93916
659,2016-03-28,13,4152.06968
660,2016-03-28,14,4027.72495
661,2016-03-28,15,3994.54817
662,2016-03-28,16,3478.63067
663,2016-03-28,17,2628.31692
664,2016-03-28,18,1524.64867
665,2016-03-28,19,473.97028
666,2016-03-28,20,-8.55478
667,2016-03-28,21,-17.76823
668,2016-03-28,22,-18.46534
669,2016-03-28,23,-18.6124
670,2016-03-28,24,-18.9467
671,2016-03-29,1,-18.82135
672,2016-03-29,2,-19.78919
673,2016-03-29,3,-19.99194
674,2016-03-29,4,-20.48745
675,2016-03-29,5,-21.47291
676,2016-03-29,6,-21.66008
677,2016-03-29,7,-4.41173
678,2016-03-29,8,875.30945
679,2016-03-29,9,2902.37571
680,2016-03-29,10,4859.73309
681,2016-03-29,11,5728.522
682,2016-03-29,12,5636.98409
683,2016-03-29,13,5416.18096
684,2016-03-29,14,5066.69364
685,2016-03-29,15,4992.57111
686,2016-03-29,16,5020.41537
687,2016-03-29,17,4408.07911
688,2016-03-29,18,2895.11849
689,2016-03-29,19,812.78095
690,2016-03-29,20,0.60376
691,2016-03-29,21,-21.80356
692,2016-03-29,22,-22.00357
693,2016-03-29,23,-21.64706
694,2016-03-29,24,-21.77022
695,2016-03-30,1,-21.6626
696,2016-03-30,2,-21.54014
697,2016-03-30,3,-22.17915
698,2016-03-30,4,-23.81869
699,2016-03-30,5,-24.76757
700,2016-03-30,6,-24.84604
701,2016-03-30,7,-1.87136
702,2016-03-30,8,847.06643
703,2016-03-30,9,3108.70437
704,2016-03-30,10,4519.23939
705,2016-03-30,11,5255.77164
706,2016-03-30,12,5079.48386
707,2016-03-30,13,4739.04743
708,2016-03-30,14,4540.68621
709,2016-03-30,15,4701.64252
710,2016-03-30,16,5000.79718
711,2016-03-30,17,3603.77306
712,2016-03-30,18,2537.97499
713,2016-03-30,19,709.88738
714,2016-03-30,20,-3.93743
715,2016-03-30,21,-25.10329
716,2016-03-30,22,-24.71753
717,2016-03-30,23,-24.39783
718,2016-03-30,24,-22.94799
719,2016-03-31,1,-22.67798
720,2016-03-31,2,-22.65844
721,2016-03-31,3,-22.90184
722,2016-03-31,4,-24.16536
723,2016-03-31,5,-25.37508
724,2016-03-31,6,-26.08718
725,2016-03-31,7,2.69242
726,2016-03-31,8,1052.13334
727,2016-03-31,9,3626.10613
728,2016-03-31,10,5231.14253
729,2016-03-31,11,5878.55059
730,2016-03-31,12,6051.08084
731,2016-03-31,13,6083.21821
732,2016-03-31,14,6035.77673
733,2016-03-31,15,5864.41725
734,2016-03-31,16,4788.82832
735,2016-03-31,17,4518.24052
736,2016-03-31,18,2986.36089
737,2016-03-31,19,798.54781
738,2016-03-31,20,2.46022
739,2016-03-31,21,-15.33472
740,2016-03-31,22,-22.20436
741,2016-03-31,23,-22.25289
742,2016-03-31,24,-22.27191
